Date,User Input,Emotion
2026-07-14 22:48:44,"I am confused about machine learning concepts
",Confused
2026-07-15 07:05:40,I am confused about Python loops and I need help understanding them.,Confused
2026-07-15 07:08:58,I finally understood Python functions and solved all the practice problems by myself. I feel confident and excited to learn more.,Confident
2026-07-15 07:11:39,I am curious about how artificial intelligence works. I want to learn more about machine learning and neural networks.,Curious
2026-07-15 07:18:33,"I am confused about Python loops and recursion. I have an exam tomorrow and I don't know where to start.
",Confused
2026-07-15 07:19:30,I solved all my Python assignments successfully and I feel confident.,Confident
2026-07-15 07:19:38,I don't understand recursion and I need help.,Confused
2026-07-15 07:19:44,"I want to learn how machine learning works.
",Curious
2026-07-15 07:19:53,"I have tried many times but my program still doesn't work.
",Neutral
2026-07-15 07:20:06,Today's lecture was boring and I couldn't focus.,Bored
2026-07-15 07:20:13,I have tried many times but my program still doesn't work.,Neutral
2026-07-15 07:28:12,"I have been trying to fix this Python error for hours, but nothing works. I feel frustrated and stuck.",Frustrated
2026-07-15 08:38:09,I am confused about Python loops and I don't understand how to solve coding problems.,Confused
2026-07-15 22:45:37,I am confused about Python loops and I don't understand how to solve coding problems.,Confused
2026-07-15 22:46:19,"I have been trying to understand machine learning algorithms for many days, but I am unable to get the concepts. I feel frustrated.",Confident
